Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,RRGB,11AUG2005,-0.222646607,-0.242110996,-0.251413441,14
Fama-French Plus Momentum,CIT,05MAR2008,-0.523536635,-0.403223742,-0.317647022,14
Fama-French Plus Momentum,LF,21OCT2003,-0.23782113,-0.293845745,-0.301278691,14
Fama-French Plus Momentum,IIH,08APR2002,-0.105150166,0.0047353461,-0.000781187,14
Fama-French Plus Momentum,ARB,26NOV2007,-0.184384758,-0.248336528,-0.243325766,14
Fama-French Plus Momentum,CRI,24JUL2007,-0.237216453,-0.186608378,-0.161574046,14
Fama-French Plus Momentum,TNS,22FEB2006,-0.083619655,-0.06336968,-0.085494186,14
Fama-French Plus Momentum,MGI,14JAN2008,-0.544943822,-0.527043132,-0.519606786,14
Fama-French Plus Momentum,MNKD,19JAN2011,-0.430309717,-0.451584338,-0.399166106,14
Fama-French Plus Momentum,GCT,10MAR2006,-0.287104637,-0.328635525,-0.31379343,14
Fama-French Plus Momentum,HURN,31JUL2009,-0.700045626,-0.728006248,-0.719484784,14
Fama-French Plus Momentum,ORA,24FEB2010,-0.110557148,-0.141128532,-0.13951419,14
Fama-French Plus Momentum,THLD,14JUL2006,-0.53474323,-0.49491769,-0.469546201,14
Fama-French Plus Momentum,NOVL,22APR1997,-0.128289469,-0.229270057,-0.253606118,14
Fama-French Plus Momentum,PAY,30NOV2007,-0.534475076,-0.636631993,-0.582562006,14
Fama-French Plus Momentum,LEAP,09NOV2007,-0.493672894,-0.568833574,-0.482501231,14
Fama-French Plus Momentum,ATRC,31OCT2008,-0.377019759,-0.326273236,-0.389064297,14
Fama-French Plus Momentum,CROX,31OCT2007,-0.382266378,-0.393522046,-0.406800539,14
Fama-French Plus Momentum,OPXT,13FEB2008,-0.145683439,-0.13576969,-0.154020494,14
Fama-French Plus Momentum,LRN,16DEC2011,-0.374088227,-0.461831148,-0.409205754,14
Fama-French Plus Momentum,UNH,07APR2006,-0.095727442,-0.115433799,-0.113470496,14
Fama-French Plus Momentum,CGA,01SEP2010,-0.167300395,-0.215243434,-0.209273157,14
