Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,CI,24OCT2002,-0.378477816,-0.348403722,-0.355333578,15
Fama-French Plus Momentum,CHE,16NOV2011,-0.103417808,-0.093349922,-0.095664649,15
Fama-French Plus Momentum,HOV,13AUG2007,3.3597058E-9,-0.102533568,-0.121587581,15
Fama-French Plus Momentum,COO,21NOV2005,-0.260224106,-0.242444128,-0.233066471,15
Fama-French Plus Momentum,TOL,08NOV2005,0.0271283781,-0.134897136,-0.163749399,15
Fama-French Plus Momentum,PPC,24SEP2008,-0.772552048,-1.028359058,-0.60741652,15
Fama-French Plus Momentum,UNM,04FEB2003,-0.321390427,-0.369812563,-0.31979232,15
Fama-French Plus Momentum,STAA,06JAN2004,-0.197022762,-0.300829567,-0.301699968,15
Fama-French Plus Momentum,RGR,29OCT2007,-0.590934207,-0.723413755,-0.530535999,15
Fama-French Plus Momentum,MBI,09JAN2008,-0.616075437,-0.814610286,-0.557748478,15
Fama-French Plus Momentum,TLAB,19JUN2001,-0.471680871,-0.529647801,-0.415573864,15
Fama-French Plus Momentum,BPT,04AUG2006,-0.069891807,-0.060198252,-0.06852236,15
Fama-French Plus Momentum,ABIX,16APR2004,0.763341048,1.7690046479,0.5798006205,13
Fama-French Plus Momentum,PRST,29SEP2006,-0.346485777,-0.388701335,-0.347661741,15
Fama-French Plus Momentum,ZIXI,04MAY2004,-0.507836992,-0.577356654,-0.432949081,15
Fama-French Plus Momentum,LSCC,19APR2004,-0.180851044,-0.05400863,-0.051732703,15
Fama-French Plus Momentum,SLR,26SEP2002,-0.413559327,-0.363528904,-0.309739726,15
Fama-French Plus Momentum,CSCO,06FEB2001,-0.21621622,0.085262671,0.0621096237,15
Fama-French Plus Momentum,THOR,29JUN2004,-0.249303623,-0.1904326,-0.194922207,15
Fama-French Plus Momentum,TTI,16OCT2007,-0.090081878,-0.100602913,-0.099084655,15
Fama-French Plus Momentum,MRX,24SEP2008,-0.31793823,-0.126529644,-0.10208298,15
