,tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,CIK,filedate,Form,diff
106,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-02-08,8-K,-12 days +00:00:00.000000000
107,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-05-02,8-K,-95 days +00:00:00.000000000
108,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-01-06,8-K,21 days 00:00:00.000000000
109,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-03-16,8-K,-48 days +00:00:00.000000000
110,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-09-23,8-K,-239 days +00:00:00.000000000
111,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-05-12,8-K,-105 days +00:00:00.000000000
112,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-04-12,8-K,-75 days +00:00:00.000000000
113,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-09-08,8-K,-224 days +00:00:00.000000000
114,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-11-28,8-K,-305 days +00:00:00.000000000
115,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-12-23,8-K,-330 days +00:00:00.000000000
116,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-10-13,10-K,-259 days +00:00:00.000000000
117,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-11-10,8-K,-287 days +00:00:00.000000000
118,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-10-13,8-K,-259 days +00:00:00.000000000
119,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-09-30,8-K,-246 days +00:00:00.000000000
120,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-10-13,8-K,-259 days +00:00:00.000000000
