rdate,cusip,stkname,tic,exchcd,stkcd,stkcdesc,prc,shrout,Top5InstOwn,Top10InstOwn,NumInstBlockOwners,InstBlockOwn,NumInstOwners,MaxInstOwn,InstOwn,InstOwn_HHI,InstOwn_Perc
3/31/2004,22087M10,CORUS GROUP PLC,CGA,A,+,AR,7.71,4434759,18117549,18739591,0,,22,16892849,18864387,0.803225094,0.004253757
3/31/2004,22747810,CROSS A T CO,ATX,B,0,CMA,6.52,13220,2913385,3918273,1,860800,48,860800,5000806,0.08485678,0.378275794
3/31/2004,22765D10,CROSSROADS SYS INC,CRDS,V,0,COM,2.37,25162,3228806,4405212,1,1352516,26,1352516,5095333,0.119571648,0.202501113
3/31/2004,22890310,CRYOLIFE INC,CRY,A,0,COM,5.95,23227,5084402,7969000,1,1263310,80,1263310,12207324,0.051798439,0.525566108
3/31/2004,24702R10,DELL INC,DELL,V,0,COM,33.62,2560426,403446026,584649775,0,,876,108522829,1547474145,0.021351483,0.604381515
3/31/2004,24990610,DESCARTES SYS GROUP INC,DSGX,V,0,COM,2.31,40654,8062026,8625226,1,5668890,20,5668890,8764992,0.440112322,0.215599744
3/31/2004,25365110,DIEBOLD INC,DBD,A,0,COM,48.12,72879,22042576,27498535,2,14513845,301,9889820,53858052,0.053572734,0.739006463
3/31/2004,26623310,DUQUESNE LT HLDGS INC,DQE,A,0,COM,19.5,75303,15841821,21996143,1,6243327,145,6243327,38363485,0.052541303,0.509454935
3/31/2004,26779V10,DYNACQ HEALTHCARE INC,DYII,V,0,COM,5.28,14945,1013945,1374532,0,,29,272513,1519191,0.109670798,0.101652125
3/31/2004,26816Q10,DYNEGY INC NEW,DYN,A,0,CMA,3.96,279871,51577942,79733113,0,,199,11802973,151212114,0.036174322,0.540292185
3/31/2004,26915110,ESS TECHNOLOGY INC,ESST,V,0,COM,14.66,39325,8178981,13022588,1,2484060,151,2484060,28456303,0.030498107,0.72361864
3/31/2004,28336L10,EL PASO CORP,EP,A,0,COM,7.11,640992,221839620,281227359,3,181723783,327,78508289,476205671,0.063266008,0.742919835
3/31/2004,30613710,FALCONSTOR SOFTWARE INC,FALC,V,0,COM,7.45,46670,3250607,4588801,0,,51,1034386,5778260,0.082880206,0.123811014
3/31/2004,31164210,FARO TECHNOLOGIES INC,FARO,V,0,COM,22.99,13572,1678319,2869519,0,,51,361359,4526276,0.048931309,0.333501032
3/31/2004,31391430,FEDERATED AMERN LEADERS FD I,FALC,I,7,CMC,23.75,,85031,85031,0,,1,85031,85031,1,
3/31/2004,31677310,FIFTH THIRD BANCORP,FITB,V,0,COM,55.37,564925,142696947,205674328,1,56198414,499,56198414,357023088,0.049328179,0.631983162
3/31/2004,31867210,FIRST BANCORP P R,FBP,A,+,COM,41.6,40144,7858486,9541904,1,4000500,106,4000500,14054753,0.111865888,0.350108435
3/31/2004,32087810,FIRST MIDWEST FINL INC,CASH,V,0,COM,22.74,2503,420612,456212,1,217600,13,217600,457662,0.292607531,0.182845386
