tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,tic
HELE,10/10/2005,1/16/2008,2008,1,828,3634,6.7190132,0,HELE
HIG,13/10/2004,8/28/2009,2009,8,1780,6411,7.4843688,3.85,HIG
HLIT,26/06/2000,2/7/2007,2007,2,2417,3660,7.7902822,0,HLIT
HLYS,8/8/2007,7/27/2009,2009,7,719,3140,6.5778613,0,HLYS
HNSN,18/10/2009,5/9/2013,2013,5,1299,3842,7.1693501,0,HNSN
HOV,13/08/2007,9/11/2009,2009,9,760,1531,6.6333184,0,HOV
HRLY,14/06/2006,7/2/2010,2010,7,1479,3812,7.2991214,0,HRLY
HSP,17/10/2011,3/27/2014,2014,3,892,2834,6.7934661,0,HSP
HTRN,25/07/2003,8/22/2005,2005,8,759,3845,6.6320019,2.825,HTRN
HURN,31/07/2009,1/19/2011,2011,1,537,8742,6.2859979,0,HURN
HUSA,18/04/2012,12/30/2014,2014,12,986,1311,6.8936563,0,HUSA
IBIS,12/12/2003,1/25/2007,2007,1,1140,3670,7.0387836,1.9,IBIS
IBM,15/04/2005,5/30/2008,2008,5,1141,3571,7.0396605,20,IBM
IIH,8/4/2002,6/1/2009,2009,6,2611,6726,7.8674884,0.788024,IIH
IKAN,8/3/2006,2/28/2013,2013,2,2549,3661,7.8434563,0,IKAN
ILA,3/12/2001,11/18/2005,2005,11,1446,4931,7.2765565,0,ILA
INAP,18/03/2008,8/5/2013,2013,8,1966,7374,7.5837564,0,INAP
IRF,9/4/2007,9/25/2009,2009,9,900,3674,6.8023949,0,IRF
ITMN,11/6/2003,5/6/2005,2005,5,695,2836,6.5439119,10.4,ITMN
JAH,11/1/2006,1/20/2009,2009,1,1105,3089,7.0076008,8,JAH
JAKK,19/10/2004,11/17/2009,2009,11,1855,3942,7.52564,0,JAKK
JNPR,22/05/2006,4/12/2010,2010,4,1421,7379,7.2591162,0,JNPR
JOSB,7/6/2006,2/9/2010,2010,2,1343,5610,7.202661,0,JOSB
JPM,1/7/2004,6/23/2008,2008,6,1453,6021,7.2813859,0,JPM
KLAC,22/05/2006,1/11/2008,2008,1,599,3827,6.3952618,0,KLAC
KO,6/3/2000,7/3/2008,2008,7,3041,2086,8.0199413,137.5,KO
KOS,10/11/2011,4/29/2014,2014,4,901,1321,6.8035054,0,KOS
KOSS,21/12/2009,3/6/2012,2012,3,806,3651,6.6920838,0,KOSS
