CIK,FDATE,Form,tic
5513,20100803,8-K,UNM
5513,20100623,8-K,UNM
5513,20090930,8-K,UNM
5513,20090924,8-K,UNM
5513,20090429,8-K,UNM
5513,20090522,8-K,UNM
5513,20090224,10-K,UNM
5513,20081030,8-K,UNM
5513,20080919,8-K,UNM
5513,20080930,8-K,UNM
5513,20090204,8-K,UNM
5513,20080627,8-K,UNM
5513,20080801,8-K,UNM
5513,20080529,8-K,UNM
5513,20080229,8-K,UNM
5513,20060302,8-K,UNM
5513,20080131,8-K,UNM
5513,20071218,8-K,UNM
5513,20071206,8-K,UNM
5513,20071031,8-K,UNM
5513,20070917,8-K,UNM
5513,20070821,8-K,UNM
5513,20070801,8-K,UNM
5513,20070523,8-K,UNM
5513,20070502,8-K,UNM
5513,20070305,8-K,UNM
5513,20070207,8-K,UNM
5513,20070125,8-K,UNM
5513,20070130,8-K,UNM
5513,20061101,8-K,UNM
5513,20060928,8-K,UNM
5513,20060927,8-K,UNM
5513,20061220,8-K,UNM
5513,20060926,8-K,UNM
5513,20060620,8-K,UNM
5513,20060503,8-K,UNM
5513,20050817,8-K,UNM
5513,20060303,10-K,UNM
