BEST_EDGAR_TICKER,AUDITOR_FKEY,AUDITOR_NAME,SIG_DATE_OF_OP_X,GOING_CONCERN,FISCAL_YEAR_OF_OP,FISCAL_YEAR_END_OP,OP_AUD_PCAOB,FTP_FILE_FKEY,FILE_DATE,FILE_SIZE
MRGE,4,KPMG LLP,20020220,0,2001,31DEC2001,1,edgar/data/944765/0000944765-02-000010.txt,2002-04-01,219 KB
MRGE,4,KPMG LLP,20010328,0,2000,31DEC2000,1,edgar/data/944765/0000950137-01-500648.txt,2001-04-06,169 KB
MRGE,4,KPMG LLP,20000225,0,1999,31DEC1999,1,edgar/data/944765/0000950137-00-001494.txt,2000-03-31,1 MB
MRK,1,PricewaterhouseCoopers LLP,20150227,0,2014,31DEC2014,1,edgar/data/310158/0000310158-15-000005.txt,2015-02-27,37 MB
MRK,1,PricewaterhouseCoopers LLP,20140227,0,2013,31DEC2013,1,edgar/data/310158/0000310158-14-000009.txt,2014-02-27,31 MB
MRK,1,PricewaterhouseCoopers LLP,20130226,0,2012,31DEC2012,1,edgar/data/310158/0001193125-13-084618.txt,2013-02-28,21 MB
MRK,1,PricewaterhouseCoopers LLP,20120227,0,2011,31DEC2011,1,edgar/data/310158/0001193125-12-084319.txt,2012-02-28,24 MB
MRK,1,PricewaterhouseCoopers LLP,20110225,0,2010,31DEC2010,1,edgar/data/310158/0000950123-11-019286.txt,2011-02-28,32 MB
MRK,1,PricewaterhouseCoopers LLP,20100226,0,2009,31DEC2009,1,edgar/data/310158/0000950123-10-018679.txt,2010-03-01,8 MB
MRK,3,Deloitte & Touche LLP,20090227,0,2008,31DEC2008,1,edgar/data/310158/0000950123-09-003694.txt,2009-02-27,2 MB
MRK,3,Deloitte & Touche LLP,20080229,0,2007,31DEC2007,1,edgar/data/310158/0000950123-08-002339.txt,2008-02-29,1 MB
MRK,3,Deloitte & Touche LLP,20070227,0,2006,31DEC2006,1,edgar/data/310158/0000950123-07-002869.txt,2007-02-28,2 MB
MRK,3,Deloitte & Touche LLP,20060228,0,2005,31DEC2005,1,edgar/data/310158/0000950123-06-002367.txt,2006-02-28,1 MB
MRK,3,Deloitte & Touche LLP,20050308,0,2004,31DEC2004,1,edgar/data/310158/0000950123-05-002785.txt,2005-03-09,1 MB
MRK,3,Deloitte & Touche LLP,20040219,0,2003,31DEC2003,1,edgar/data/310158/0000950123-04-002379.txt,2004-02-26,1 MB
MRK,3,Deloitte & Touche LLP,20030225,0,2002,31DEC2002,1,edgar/data/310158/0000310158-03-000008.txt,2003-03-10,1 MB
MRK,3,Deloitte & Touche LLP,20020215,0,2001,31DEC2001,1,edgar/data/310158/0000310158-02-000002.txt,2002-03-29,763 KB
MRK,3,Deloitte & Touche LLP,20010216,0,2000,31DEC2000,1,edgar/data/310158/0000310158-01-500003.txt,2001-03-13,608 KB
MRVL,1,PricewaterhouseCoopers LLP,20150326,0,2015,31JAN2015,1,edgar/data/1058057/0001193125-15-107187.txt,2015-03-26,15 MB
MRVL,1,PricewaterhouseCoopers LLP,20140327,0,2014,01FEB2014,1,edgar/data/1058057/0001193125-14-118715.txt,2014-03-27,14 MB
MRVL,1,PricewaterhouseCoopers LLP,20130329,0,2013,02FEB2013,1,edgar/data/1058057/0001193125-13-134707.txt,2013-03-29,13 MB
MRVL,1,PricewaterhouseCoopers LLP,20120327,0,2012,28JAN2012,1,edgar/data/1058057/0001193125-12-134488.txt,2012-03-27,13 MB
MRVL,1,PricewaterhouseCoopers LLP,20110325,0,2011,29JAN2011,1,edgar/data/1058057/0001193125-11-078410.txt,2011-03-28,15 MB
MRVL,1,PricewaterhouseCoopers LLP,20100330,0,2010,30JAN2010,1,edgar/data/1058057/0001193125-10-073247.txt,2010-03-31,4 MB
MRVL,1,PricewaterhouseCoopers LLP,20090331,0,2009,31JAN2009,1,edgar/data/1058057/0001193125-09-070629.txt,2009-04-01,1 MB
