Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,BPOP,17JUN2011,13JUN2011,-4,0,0.0000350501
Fama-French Plus Momentum,BPOP,17JUN2011,14JUN2011,-3,0.0347985439,0.0263006049
Fama-French Plus Momentum,BPOP,17JUN2011,15JUN2011,-2,-0.008849591,0.0156351638
Fama-French Plus Momentum,BPOP,17JUN2011,16JUN2011,-1,0.0178571269,0.0187319794
Fama-French Plus Momentum,BPOP,17JUN2011,17JUN2011,0,-0.010526306,-0.016506739
Fama-French Plus Momentum,BPOP,17JUN2011,20JUN2011,1,-0.007092192,-0.010283473
Fama-French Plus Momentum,BPOP,17JUN2011,21JUN2011,2,-0.021428552,-0.032896713
Fama-French Plus Momentum,BPOP,17JUN2011,22JUN2011,3,-0.010948895,-0.003184416
Fama-French Plus Momentum,BPOP,17JUN2011,23JUN2011,4,0.0147601329,0.0259924533
Fama-French Plus Momentum,BPOP,17JUN2011,24JUN2011,5,-0.032727242,-0.014754794
Fama-French Plus Momentum,BPOP,17JUN2011,27JUN2011,6,-0.011278184,-0.018847927
Fama-French Plus Momentum,BPOP,17JUN2011,28JUN2011,7,0,-0.012506161
Fama-French Plus Momentum,BPOP,17JUN2011,29JUN2011,8,0.0589353479,0.0454276329
Fama-French Plus Momentum,CVS,06JUN2005,25MAY2005,-7,-0.001818154,0.0013434662
Fama-French Plus Momentum,CVS,06JUN2005,26MAY2005,-6,0.00127504,-0.003908039
Fama-French Plus Momentum,CVS,06JUN2005,27MAY2005,-5,-0.000181956,0.0010557246
Fama-French Plus Momentum,CVS,06JUN2005,31MAY2005,-4,-0.002001467,-0.000071575
Fama-French Plus Momentum,CVS,06JUN2005,01JUN2005,-3,0.0041933157,-0.000571607
Fama-French Plus Momentum,CVS,06JUN2005,02JUN2005,-2,0.0393972062,0.0344016003
Fama-French Plus Momentum,CVS,06JUN2005,03JUN2005,-1,0.000349353,0.0050116167
Fama-French Plus Momentum,CVS,06JUN2005,06JUN2005,0,0.0137943234,0.0115759694
Fama-French Plus Momentum,CVS,06JUN2005,07JUN2005,1,0.0037891387,0.005663386
Fama-French Plus Momentum,CVS,06JUN2005,08JUN2005,2,-0.008579273,-0.001026677
Fama-French Plus Momentum,CVS,06JUN2005,09JUN2005,3,0.0051921611,-0.00280529
Fama-French Plus Momentum,CVS,06JUN2005,10JUN2005,4,-0.00034436,0.0098521357
Fama-French Plus Momentum,CVS,06JUN2005,13JUN2005,5,-0.006200493,-0.005258261
Fama-French Plus Momentum,CVS,06JUN2005,14JUN2005,6,0.0100519583,0.0136724369
Fama-French Plus Momentum,CVS,06JUN2005,15JUN2005,7,0.0030885434,0.0026218858
Fama-French Plus Momentum,CVS,06JUN2005,16JUN2005,8,0.0061580674,-0.00153892
Fama-French Plus Momentum,BMY,02MAR2006,21FEB2006,-7,-0.008665544,-0.000971591
Fama-French Plus Momentum,BMY,02MAR2006,22FEB2006,-6,0.0209790859,0.0122656702
Fama-French Plus Momentum,BMY,02MAR2006,23FEB2006,-5,-0.006849308,-0.001674818
Fama-French Plus Momentum,BMY,02MAR2006,24FEB2006,-4,-0.009913855,-0.008807271
Fama-French Plus Momentum,BMY,02MAR2006,27FEB2006,-3,0.0104484009,0.0073394686
Fama-French Plus Momentum,BMY,02MAR2006,28FEB2006,-2,-0.004739281,0.00352456
Fama-French Plus Momentum,BMY,02MAR2006,01MAR2006,-1,-0.014285711,-0.013746946
Fama-French Plus Momentum,BMY,02MAR2006,02MAR2006,0,-0.000878369,0.005510886
Fama-French Plus Momentum,BMY,02MAR2006,03MAR2006,1,0.0065933899,0.0080862263
Fama-French Plus Momentum,BMY,02MAR2006,06MAR2006,2,-0.003930138,-0.003466336
Fama-French Plus Momentum,BMY,02MAR2006,07MAR2006,3,-0.009644862,-0.016451618
Fama-French Plus Momentum,BMY,02MAR2006,08MAR2006,4,0.0106241601,0.0066280381
Fama-French Plus Momentum,BMY,02MAR2006,09MAR2006,5,-0.005694225,-0.003001632
Fama-French Plus Momentum,BMY,02MAR2006,10MAR2006,6,0.0092510609,0.0010847219
Fama-French Plus Momentum,BMY,02MAR2006,13MAR2006,7,0.0013095018,0.0018917691
Fama-French Plus Momentum,BMY,02MAR2006,14MAR2006,8,-0.001307789,-0.005317751
Fama-French Plus Momentum,BMY,18AUG2009,07AUG2009,-7,0.0078232894,-0.005768383
Fama-French Plus Momentum,BMY,18AUG2009,10AUG2009,-6,-0.000913263,0.0014087406
Fama-French Plus Momentum,BMY,18AUG2009,11AUG2009,-5,0.0041133529,0.0068533696
Fama-French Plus Momentum,BMY,18AUG2009,12AUG2009,-4,-0.003641326,-0.014979136
Fama-French Plus Momentum,BMY,18AUG2009,13AUG2009,-3,-0.001370433,0.0027586714
Fama-French Plus Momentum,BMY,18AUG2009,14AUG2009,-2,-0.002287335,0.0131493193
Fama-French Plus Momentum,BMY,18AUG2009,17AUG2009,-1,-0.006419046,0.003397415
Fama-French Plus Momentum,BMY,18AUG2009,18AUG2009,0,0.0046146922,-0.001355941
Fama-French Plus Momentum,BMY,18AUG2009,19AUG2009,1,0.0192926079,0.007877696
Fama-French Plus Momentum,BMY,18AUG2009,20AUG2009,2,0.0027038965,-0.00147456
Fama-French Plus Momentum,BMY,18AUG2009,21AUG2009,3,0.0143820085,0.0007846819
Fama-French Plus Momentum,BMY,18AUG2009,24AUG2009,4,0.0004430762,0.0008714189
Fama-French Plus Momentum,BMY,18AUG2009,25AUG2009,5,0.0163862202,0.0137257167
Fama-French Plus Momentum,BMY,18AUG2009,26AUG2009,6,-0.001742959,-0.002525306
Fama-French Plus Momentum,BMY,18AUG2009,27AUG2009,7,-0.005674341,-0.001734172
Fama-French Plus Momentum,BMY,18AUG2009,28AUG2009,8,-0.028972775,-0.019342768
Fama-French Plus Momentum,LMT,15FEB2013,06FEB2013,-7,0.0067807874,0.0088388293
Fama-French Plus Momentum,LMT,15FEB2013,07FEB2013,-6,-0.001826439,0.0013327569
Fama-French Plus Momentum,LMT,15FEB2013,08FEB2013,-5,0.0065187518,0.0023293557
Fama-French Plus Momentum,LMT,15FEB2013,11FEB2013,-4,-0.005453964,-0.001791136
Fama-French Plus Momentum,LMT,15FEB2013,12FEB2013,-3,-0.003084618,0.000358423
Fama-French Plus Momentum,LMT,15FEB2013,13FEB2013,-2,-0.002292053,-0.002221861
Fama-French Plus Momentum,LMT,15FEB2013,14FEB2013,-1,0.0002297757,0.0012962203
Fama-French Plus Momentum,LMT,15FEB2013,15FEB2013,0,0.0090721278,0.0091894691
Fama-French Plus Momentum,LMT,15FEB2013,19FEB2013,1,0.0040969681,0.0003440065
Fama-French Plus Momentum,LMT,15FEB2013,20FEB2013,2,-0.005667007,0.0038734089
Fama-French Plus Momentum,LMT,15FEB2013,21FEB2013,3,-0.00193783,0.0048405777
Fama-French Plus Momentum,LMT,15FEB2013,22FEB2013,4,0.0063956738,-0.001092091
Fama-French Plus Momentum,LMT,15FEB2013,25FEB2013,5,-0.002723621,0.011861599
Fama-French Plus Momentum,LMT,15FEB2013,26FEB2013,6,-0.006599843,-0.011720691
Fama-French Plus Momentum,LMT,15FEB2013,27FEB2013,7,0.0249713473,0.0138000429
Fama-French Plus Momentum,LMT,15FEB2013,28FEB2013,8,-0.003736011,-0.003593798
Fama-French Plus Momentum,NEM,20OCT2006,11OCT2006,-7,-0.01722079,-0.011511968
Fama-French Plus Momentum,NEM,20OCT2006,12OCT2006,-6,0.0180092882,0.0181809312
Fama-French Plus Momentum,NEM,20OCT2006,13OCT2006,-5,0.0334687456,0.0297128015
Fama-French Plus Momentum,NEM,20OCT2006,16OCT2006,-4,0.007864912,0.0144057202
Fama-French Plus Momentum,NEM,20OCT2006,17OCT2006,-3,-0.007573973,0.0053899265
Fama-French Plus Momentum,NEM,20OCT2006,18OCT2006,-2,-0.023820596,-0.011985156
