Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,LVLT,05MAY2006,-0.110902279,0.1266451766,0.1180324271,16
Fama-French Plus Momentum,AXTI,24MAY2007,0.0298507173,0.2405654866,0.2204767653,16
Fama-French Plus Momentum,PCLN,03MAY2007,0.0055238315,0.0353844675,0.0255160711,16
Fama-French Plus Momentum,CNX,02FEB2007,0.0443657209,0.1665348078,0.1599692785,16
Fama-French Plus Momentum,BRCD,24OCT2008,0.0225000277,0.1247478269,0.1106979274,16
Fama-French Plus Momentum,JNPR,12APR2010,-0.037900875,-0.160967187,-0.168260594,16
Fama-French Plus Momentum,MDRX,16MAR2012,-0.070619919,-0.128461764,-0.128406958,16
Fama-French Plus Momentum,LAB,22SEP2008,-0.141856383,0.2141196847,0.1508894801,16
Fama-French Plus Momentum,QSFT,19NOV2009,-0.016091884,-0.026629669,-0.026984228,16
Fama-French Plus Momentum,INAP,05AUG2013,-0.107921935,-0.099460224,-0.091357527,16
Fama-French Plus Momentum,MSO,16MAR2007,-0.064814841,0.0184031826,0.015033035,16
Fama-French Plus Momentum,CRDS,14FEB2005,-0.109374988,-0.095663829,-0.093586984,16
Fama-French Plus Momentum,CHTR,15FEB2005,0.089285775,0.2208633651,0.2103663531,16
Fama-French Plus Momentum,HTRN,22AUG2005,-0.065998325,-0.009473359,-0.010250088,16
Fama-French Plus Momentum,WSTM,13MAR2008,-0.162162159,0.0292446508,0.0123149641,16
Fama-French Plus Momentum,ALTH,21FEB2008,-0.154294018,-0.292515018,-0.300058891,16
Fama-French Plus Momentum,ITMN,06MAY2005,0.0812324813,0.0336464493,0.0356537658,16
Fama-French Plus Momentum,UTSI,13JAN2010,0.0867580147,-0.001377792,-0.006091694,16
Fama-French Plus Momentum,UTSI,14MAY2009,0.389705858,0.3628209245,0.4144539235,16
Fama-French Plus Momentum,SONS,14JAN2009,-0.07643313,0.1449424541,0.1018161814,16
Fama-French Plus Momentum,SONS,21DEC2007,-0.199367122,-0.129760932,-0.112357853,16
Fama-French Plus Momentum,MRVL,09JUN2009,0.0273738871,0.024323902,0.0064894918,16
Fama-French Plus Momentum,SPRT,27JUN2007,-1.83645E-10,-0.020939069,-0.021766325,16
Fama-French Plus Momentum,PMTR,17MAR2005,-0.032258044,0.3703717553,0.293830132,16
Fama-French Plus Momentum,STEC,05OCT2012,-0.070278186,0.0936412465,0.0847439385,16
Fama-French Plus Momentum,AET,10MAY2005,0.0639371503,-0.038586614,-0.042091708,16
Fama-French Plus Momentum,FLR,29MAR2005,0.0044318372,-0.049068771,-0.051814868,16
Fama-French Plus Momentum,BLUD,14MAY2007,-0.065146599,-0.096441678,-0.097652583,16
Fama-French Plus Momentum,TASR,11OCT2006,0.2271540157,0.1677384608,0.1781828086,16
Fama-French Plus Momentum,BEL,16NOV2005,4.060694E-10,0.0901943814,0.0833001062,16
Fama-French Plus Momentum,AGP,13NOV2006,0.2008485894,0.1861208624,0.1976707666,16
Fama-French Plus Momentum,LAVA,06JUN2008,0.0169971517,0.113376602,0.1071818078,16
Fama-French Plus Momentum,CNC,18OCT2010,-0.028497399,-0.071350902,-0.074595415,16
Fama-French Plus Momentum,EPAX,13JUL2011,-0.035107528,-0.064634353,-0.063309586,16
Fama-French Plus Momentum,RRGB,24MAY2007,0.0571356748,0.043059209,0.0409155653,16
Fama-French Plus Momentum,LF,07APR2008,0.0498687749,-0.142178572,-0.16427616,16
Fama-French Plus Momentum,IIH,01JUN2009,-0.085470004,-0.155715441,-0.159604454,16
Fama-French Plus Momentum,ARB,14MAY2012,-0.040931048,-0.070045045,-0.070042163,16
Fama-French Plus Momentum,CRI,21DEC2011,-0.013038193,-0.084387068,-0.08457411,16
