Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,DQE,15JUL2005,0.0126849796,0.0063475167,0.0061504926,15
Fama-French Plus Momentum,ILA,18NOV2005,0.0113959983,0.0252255852,0.0246073002,15
Fama-French Plus Momentum,IRF,25SEP2009,-0.000997435,-0.108711923,-0.113294253,15
Fama-French Plus Momentum,XRX,27MAR2008,0.0538308441,-0.019029171,-0.020368254,15
Fama-French Plus Momentum,FLS,18DEC2009,0.0054685156,-0.062604885,-0.065496981,15
Fama-French Plus Momentum,WFT,29JAN2014,-0.060668052,0.0444920551,0.0399242677,15
Fama-French Plus Momentum,NR,27JUL2007,-0.335044946,-0.211168905,-0.162773369,15
Fama-French Plus Momentum,FITB,20DEC2012,0.0906613366,0.0479963002,0.0507572639,15
Fama-French Plus Momentum,PLL,26APR2012,-0.026743576,0.0330305582,0.0316008881,15
Fama-French Plus Momentum,TE,28JUN2007,-0.00350874,0.0597952204,0.0580586981,15
Fama-French Plus Momentum,BEN,09JUN2011,-0.019248993,0.0203010586,0.0192115803,15
Fama-French Plus Momentum,WMB,05OCT2006,0.0856890694,0.0278693562,0.027706669,15
Fama-French Plus Momentum,S,14OCT2010,0.0326087197,0.0134091176,0.0121943347,15
Fama-French Plus Momentum,S,14SEP2006,0.0079486231,0.1702230358,0.1591731581,15
Fama-French Plus Momentum,WEDC,06OCT2006,0.05208333,0.087175026,0.0870567778,15
Fama-French Plus Momentum,DBD,08NOV2013,0.1130980486,0.1206975712,0.1248871239,15
Fama-French Plus Momentum,HELE,16JAN2008,0.1121433757,0.12246697,0.1012186679,15
Fama-French Plus Momentum,HRLY,02JUL2010,0.1020699007,0.0981147054,0.1014921265,15
Fama-French Plus Momentum,FRX,23DEC2008,0.0920449429,-0.021131003,-0.022451844,15
Fama-French Plus Momentum,TYC,07AUG2007,-0.163437763,-0.15371204,-0.139053142,15
Fama-French Plus Momentum,TYC,12FEB2007,-0.008469215,-0.049727288,-0.051496196,15
Fama-French Plus Momentum,MMC,13NOV2009,-0.023534494,-0.091345709,-0.094268071,15
Fama-French Plus Momentum,KLAC,11JAN2008,-0.112541492,-0.082312426,-0.080057329,15
Fama-French Plus Momentum,JPM,23JUN2008,-0.057730246,0.1463972471,0.1291557461,15
Fama-French Plus Momentum,KOSS,06MAR2012,-0.042477922,-0.155275036,-0.165040796,15
Fama-French Plus Momentum,SMTC,10MAR2011,0.0012668456,-0.010551321,-0.018563228,15
Fama-French Plus Momentum,BKR,03APR2009,0.0376834921,0.2321284071,0.2077692086,15
Fama-French Plus Momentum,ATX,20JUL2005,0.0820734561,0.178980056,0.1756650912,15
Fama-French Plus Momentum,MOLX,07NOV2006,-0.057142879,-0.056471756,-0.055667438,15
Fama-French Plus Momentum,NAFC,11MAR2008,-0.008861648,0.0150552156,0.0163077013,15
Fama-French Plus Momentum,TAP,07NOV2008,0.1078784335,0.1687872334,0.1685536969,15
Fama-French Plus Momentum,BAC,30NOV2012,0.1085403861,0.024866436,0.0255417941,15
Fama-French Plus Momentum,RYL,15MAR2007,0.0028589689,-0.07177959,-0.07354294,15
Fama-French Plus Momentum,PARS,14AUG2007,-0.301666682,-0.231050576,-0.210355857,15
Fama-French Plus Momentum,CI,24JAN2007,0.0258078957,-0.025240268,-0.026461539,15
Fama-French Plus Momentum,CHE,06FEB2014,0.1094708921,0.106324746,0.1036077522,15
Fama-French Plus Momentum,HOV,11SEP2009,-0.135940419,-0.428211978,-0.470413109,15
Fama-French Plus Momentum,COO,29JUL2010,0.0741032175,-0.046502391,-0.051612856,15
Fama-French Plus Momentum,T,02MAR2006,-0.041018381,-0.102308332,-0.104498567,15
Fama-French Plus Momentum,TOL,28OCT2010,0.0679079835,0.0368153365,0.0366491616,15
Fama-French Plus Momentum,UNM,30JUL2007,-0.058347659,0.0075855936,0.0000345024,15
Fama-French Plus Momentum,STAA,26MAY2006,-0.037712943,-0.025063673,-0.034507135,15
Fama-French Plus Momentum,RGR,25JAN2012,0.1951491544,-0.030061922,-0.042156943,15
Fama-French Plus Momentum,MBI,06SEP2011,0.2581602072,0.2978775298,0.3177837101,15
Fama-French Plus Momentum,TLAB,05APR2011,-0.003868469,-0.02276672,-0.024147783,15
Fama-French Plus Momentum,BPT,16MAR2009,0.2059716898,0.1899515327,0.2011933296,15
Fama-French Plus Momentum,ABIX,06MAY2005,0.1608775533,0.3978006149,0.3006052097,15
Fama-French Plus Momentum,PRST,11MAR2009,0.1890244294,0.1167814442,0.0421839444,15
Fama-French Plus Momentum,ZIXI,07MAR2008,0.032178245,0.039984711,0.0386321527,15
Fama-French Plus Momentum,LSCC,02AUG2006,0.2657480119,0.2220062357,0.2464245736,15
Fama-French Plus Momentum,SLR,28NOV2005,0.0340909465,0.0416314646,0.0392765508,15
